id,old_id,title,ranking_id,status
1,1,Chief Engineer and Project Director,103,1
2,10,Chairman,999,1
3,20,Managing Director,101,1
4,30,Dy Managing Director (F),102,1
5,31,Dy Managing Director (O&M),102,1
6,32,Dy Managing Director(PR&D),102,1
7,101,Chief Engineer,103,1
8,102,Superindending Engineer,107,1
9,103,Executive Engineer,118,1
10,104,Sub-Divisional Engineer,140,1
11,105,Asstt. Engineer,146,1
12,106,Sub Assistant Engineer,204,1
13,107,Estimator,202,1
14,108,Micro Biologist,137,1
15,109,Asstt. Micro Biologist,149,1
16,110,Chemist,144,1
17,111,Asstt. Chemist,206,1
18,112,Transport Officer,158,1
19,113,Communication Officer,211,1
20,114,Foreman (Auto),302,1
21,115,Foreman (Electric),302,1
22,116,Foreman (Mechanical),302,1
23,117,Asstt. Foreman,315,1
24,118,Kanango,307,1
25,119,Wireless Operator,313,1
26,120,Laboratary Assistant,308,1
27,121,Cran Operator,999,1
28,122,Draftsman,306,1
29,123,Sewer Inspector,329,1
30,124,Filter-in-charge,999,1
31,125,Filter Operator,322,1
32,126,Filter Assistant,410,1
33,127,Pipe Line Inspector,333,1
34,128,Pipe Line Carpanter,999,1
35,129,Asstt. Pipe Line Carpenter,999,1
36,130,Machanic (Auto),323,1
37,131,Machanic (Pump),323,1
38,132,Asstt. Mechanic,408,1
39,133,Surveyor,331,1
40,134,Mechanist,999,1
41,135,Asstt. Machanist,999,1
42,136,Generator Operator,321,1
43,137,Pump Operator,327,1
44,138,Apprentice Pump Operator,401,1
45,139,Sewer Cleaning Track Oper,999,1
46,140,Electrician (Auto),319,1
47,141,Asstt. Auto-Electrician,999,1
48,142,Electrician (General),318,1
49,143,Asstt. Electrician,411,1
50,144,Rod Machine Driver,999,1
51,145,Filter,999,1
52,146,Treatment Plant Asstt,999,1
53,147,Tracer,999,1
54,148,Liftman,404,1
55,149,Sample Collector,999,1
56,150,Welder,999,1
57,151,Winder,999,1
58,152,Asstt. Winder,999,1
59,153,Painter,999,1
60,154,Asstt. Painter,999,1
61,155,Danter,999,1
62,156,Amonea Blue-Print Operato,999,1
63,157,Mation,999,1
64,158,Crane  Helper,415,1
65,159,Weighter,999,1
66,160,Outfall Helper,415,1
67,161,Chainman,412,1
68,162,Sewer Cleaner,999,1
69,163,Helper,415,1
70,164,Volcanizer,999,1
71,165,LDA Cum Complain Attendant,999,1
72,166,Technician,311,1
73,167,Store Keeper,330,1
74,168,Store Assistant,418,1
75,169,Carpenter,999,1
76,170,Asstt. Carpenter,999,1
77,171,Pipe Line Mechanic,326,1
78,172,Asstt. Pipe Line Mechanic,409,1
79,173,Blue Print M/Operator,999,1
80,174,Chlorine Mechanic,337,1
81,175,Line Man,999,1
82,176,Tubewell Machanic,999,1
83,177,Bulb Operator,999,1
84,178,Work Assistant,999,1
85,179,Diver,999,1
86,180,Addl C.E & Proj.Director,999,1
87,181,Dy Chief Microbiologist,122,1
